Dataset,Software,Class,Depth Cutoff,Average Accuracy < Depth,Match < Depth,Total < Depth,Average Accuracy >= Depth,Match >= Depth,Total >= Depth
hprc_hifi,HLA*LA,Non-HLA Genes,30,,0,0,,0,0
hprc_hifi,SpecHLA,Class I Genes,30,0.9155844155844157,35,40,0.9402718753405251,132,140
hprc_hifi,SpecHLA,Class I Pseudogenes,30,,0,0,,0,0
hprc_hifi,SpecHLA,Class II Genes,30,0.859375,26,28,0.8328489326765188,223,272
hprc_hifi,SpecHLA,Non-HLA Genes,30,,0,0,,0,0
hprc_hifi,SpecLong,Class I Genes,30,0.9924242424242425,59,60,1.0,300,300
hprc_hifi,SpecLong,Class I Pseudogenes,30,0.829513888888889,235,268,0.9584962406015037,284,294
hprc_hifi,SpecLong,Class II Genes,30,1.0,86,86,0.9344040777230433,692,744
hprc_hifi,SpecLong,Non-HLA Genes,30,0.8125,27,34,0.8247053872053872,168,202
hprc_hifi,HLA*LA,Class I Genes,35,0.923941798941799,107,114,0.9443236714975846,232,246
hprc_hifi,HLA*LA,Class I Pseudogenes,35,0.8446969696969697,78,86,0.7952380952380952,46,58
hprc_hifi,HLA*LA,Class II Genes,35,0.986111111111111,89,90,0.8204545454545454,223,290
hprc_hifi,HLA*LA,Non-HLA Genes,35,,0,0,,0,0
hprc_hifi,SpecHLA,Class I Genes,35,0.9058201058201059,63,70,0.9388888888888888,104,110
hprc_hifi,SpecHLA,Class I Pseudogenes,35,,0,0,,0,0
hprc_hifi,SpecHLA,Class II Genes,35,0.8341346153846154,58,68,0.8408168642951253,191,232
hprc_hifi,SpecHLA,Non-HLA Genes,35,,0,0,,0,0
hprc_hifi,SpecLong,Class I Genes,35,0.9953703703703703,113,114,1.0,246,246
hprc_hifi,SpecLong,Class I Pseudogenes,35,0.840162037037037,294,330,0.9621263586956521,225,232
hprc_hifi,SpecLong,Class II Genes,35,0.9611111111111111,193,198,0.9308531746031746,585,632
hprc_hifi,SpecLong,Non-HLA Genes,35,0.8107142857142857,59,72,0.8266908212560387,136,164
hprc_hifi,HLA*LA,Class I Genes,40,0.9385869565217391,176,186,0.9472222222222223,163,174
hprc_hifi,HLA*LA,Class I Pseudogenes,40,0.8273809523809524,93,108,0.8611111111111112,31,36
hprc_hifi,HLA*LA,Class II Genes,40,0.9573412698412698,143,150,0.8136284722222221,169,230
hprc_hifi,HLA*LA,Non-HLA Genes,40,,0,0,,0,0
hprc_hifi,SpecHLA,Class I Genes,40,0.9092995169082125,90,100,0.9666666666666667,77,80
hprc_hifi,SpecHLA,Class I Pseudogenes,40,,0,0,,0,0
hprc_hifi,SpecHLA,Class II Genes,40,0.8561507936507936,100,116,0.8373611111111112,149,184
hprc_hifi,SpecHLA,Non-HLA Genes,40,,0,0,,0,0
hprc_hifi,SpecLong,Class I Genes,40,0.9963768115942028,185,186,1.0,174,174
hprc_hifi,SpecLong,Class I Pseudogenes,40,0.8505751203990367,362,402,0.9547619047619048,157,160
hprc_hifi,SpecLong,Class II Genes,40,0.9732142857142857,349,358,0.9265485739750445,429,472
hprc_hifi,SpecLong,Non-HLA Genes,40,0.8192307692307692,100,120,0.825,95,116
hprc_hifi,HLA*LA,Class I Genes,45,0.9376256913021619,244,258,0.9476495726495727,95,102
hprc_hifi,HLA*LA,Class I Pseudogenes,45,0.8462823725981621,110,128,0.875,14,16
hprc_hifi,HLA*LA,Class II Genes,45,0.7875939849624061,194,206,0.795141065830721,118,174
hprc_hifi,HLA*LA,Non-HLA Genes,45,,0,0,,0,0
hprc_hifi,SpecHLA,Class I Genes,45,0.9239567621920562,123,134,0.9444444444444445,44,46
hprc_hifi,SpecHLA,Class I Pseudogenes,45,,0,0,,0,0
hprc_hifi,SpecHLA,Class II Genes,45,0.884766081871345,133,154,0.8428160919540229,116,146
hprc_hifi,SpecHLA,Non-HLA Genes,45,,0,0,,0,0
hprc_hifi,SpecLong,Class I Genes,45,0.9967948717948718,257,258,1.0,102,102
hprc_hifi,SpecLong,Class I Pseudogenes,45,0.8517361111111111,419,460,0.9837962962962963,100,102
hprc_hifi,SpecLong,Class II Genes,45,0.976099339257234,486,500,0.9055667305236271,292,330
hprc_hifi,SpecLong,Non-HLA Genes,45,0.8100328947368421,154,186,0.8472222222222222,41,50
hprc_hifi,HLA*LA,Class I Genes,50,0.941515353434394,287,304,0.9523809523809524,52,56
hprc_hifi,HLA*LA,Class I Pseudogenes,50,0.8551587301587302,119,138,0.875,5,6
hprc_hifi,HLA*LA,Class II Genes,50,0.850203804347826,251,274,0.8090659340659341,61,106
hprc_hifi,HLA*LA,Non-HLA Genes,50,,0,0,,0,0
hprc_hifi,SpecHLA,Class I Genes,50,0.9212338275306791,145,158,1.0,22,22
hprc_hifi,SpecHLA,Class I Pseudogenes,50,,0,0,,0,0
hprc_hifi,SpecHLA,Class II Genes,50,0.7875,173,206,0.8673076923076923,76,94
hprc_hifi,SpecHLA,Non-HLA Genes,50,,0,0,,0,0
hprc_hifi,SpecLong,Class I Genes,50,0.9971264367816092,303,304,1.0,56,56
hprc_hifi,SpecLong,Class I Pseudogenes,50,0.8517361111111111,467,508,0.9675,52,54
hprc_hifi,SpecLong,Class II Genes,50,0.9563093102073366,626,650,0.8936896436896438,152,180
hprc_hifi,SpecLong,Non-HLA Genes,50,0.8134057971014492,175,212,0.8444444444444444,20,24
hprc_ont,HLA*LA,Class I Genes,5,1.0,10,10,0.9154761904761904,320,350
hprc_ont,HLA*LA,Class I Pseudogenes,5,0.9444444444444445,53,54,0.8560606060606061,71,90
hprc_ont,HLA*LA,Class II Genes,5,0.5,2,4,0.8257286535303776,303,376
hprc_ont,HLA*LA,Non-HLA Genes,5,,0,0,,0,0
hprc_ont,SpecHLA,Class I Genes,5,0.0,0,4,0.6396825396825396,113,176
hprc_ont,SpecHLA,Class I Pseudogenes,5,,0,0,,0,0
hprc_ont,SpecHLA,Class II Genes,5,0.0,0,4,0.6435632183908045,190,296
hprc_ont,SpecHLA,Non-HLA Genes,5,,0,0,,0,0
hprc_ont,SpecLong,Class I Genes,5,0.9166666666666666,9,10,0.9970238095238096,349,350
hprc_ont,SpecLong,Class I Pseudogenes,5,0.742547476261869,134,188,0.9503908796199985,355,374
hprc_ont,SpecLong,Class II Genes,5,0.875,14,16,0.9222649835796386,760,814
hprc_ont,SpecLong,Non-HLA Genes,5,,0,0,0.7907738095238095,188,236
hprc_ont,HLA*LA,Class I Genes,10,0.8630952380952381,41,46,0.9203761214630779,289,314
hprc_ont,HLA*LA,Class I Pseudogenes,10,0.8272727272727273,71,80,0.8041666666666667,53,64
hprc_ont,HLA*LA,Class II Genes,10,0.7875,32,40,0.8278507483895414,273,340
hprc_ont,HLA*LA,Non-HLA Genes,10,,0,0,,0,0
hprc_ont,SpecHLA,Class I Genes,10,0.08333333333333333,1,24,0.7143048845947396,112,156
hprc_ont,SpecHLA,Class I Pseudogenes,10,,0,0,,0,0
hprc_ont,SpecHLA,Class II Genes,10,0.30333333333333334,16,36,0.6754549071618038,174,264
hprc_ont,SpecHLA,Non-HLA Genes,10,,0,0,,0,0
hprc_ont,SpecLong,Class I Genes,10,0.9761904761904763,44,46,1.0,314,314
hprc_ont,SpecLong,Class I Pseudogenes,10,0.8523760330578513,183,244,0.9537563131313131,306,318
hprc_ont,SpecLong,Class II Genes,10,0.9170138888888889,101,112,0.925712786973563,673,718
hprc_ont,SpecLong,Non-HLA Genes,10,0.9166666666666666,13,14,0.78505291005291,175,222
hprc_ont,HLA*LA,Class I Genes,15,0.8963293650793651,96,106,0.9264520202020202,234,254
hprc_ont,HLA*LA,Class I Pseudogenes,15,0.8341346153846154,91,106,0.8511904761904762,33,38
hprc_ont,HLA*LA,Class II Genes,15,0.7877344877344877,94,116,0.823515820802005,211,264
hprc_ont,HLA*LA,Non-HLA Genes,15,,0,0,,0,0
hprc_ont,SpecHLA,Class I Genes,15,0.19146825396825395,11,56,0.819128787878788,102,124
hprc_ont,SpecHLA,Class I Pseudogenes,15,,0,0,,0,0
hprc_ont,SpecHLA,Class II Genes,15,0.4695959595959597,47,94,0.7183333333333333,143,206
hprc_ont,SpecHLA,Non-HLA Genes,15,,0,0,,0,0
hprc_ont,SpecLong,Class I Genes,15,0.9880952380952381,104,106,1.0,254,254
hprc_ont,SpecLong,Class I Pseudogenes,15,0.8592548076923077,271,336,0.955816084270699,218,226
hprc_ont,SpecLong,Class II Genes,15,0.8875517075517074,270,298,0.9415584415584417,504,532
hprc_ont,SpecLong,Non-HLA Genes,15,0.765625,46,56,0.7964015151515151,142,180
hprc_ont,HLA*LA,Class I Genes,20,0.8875291375291375,163,182,0.948529411764706,167,178
hprc_ont,HLA*LA,Class I Pseudogenes,20,0.8457172342621259,103,120,0.84375,21,24
hprc_ont,HLA*LA,Class II Genes,20,0.7979166666666666,157,196,0.8519345238095237,148,184
hprc_ont,HLA*LA,Non-HLA Genes,20,,0,0,,0,0
hprc_ont,SpecHLA,Class I Genes,20,0.3785936285936286,35,94,0.9127178649237472,78,86
hprc_ont,SpecHLA,Class I Pseudogenes,20,,0,0,,0,0
hprc_ont,SpecHLA,Class II Genes,20,0.5584722222222223,97,162,0.7352380952380952,93,138
hprc_ont,SpecHLA,Non-HLA Genes,20,,0,0,,0,0
hprc_ont,SpecLong,Class I Genes,20,0.9924242424242425,180,182,1.0,178,178
hprc_ont,SpecLong,Class I Pseudogenes,20,0.8654401014791882,334,402,0.9572124304267161,155,160
hprc_ont,SpecLong,Class II Genes,20,0.8986698813795853,432,466,0.9394070696460403,342,364
hprc_ont,SpecLong,Non-HLA Genes,20,0.7916666666666667,82,94,0.7886363636363636,106,142
hprc_ont,HLA*LA,Class I Genes,25,0.893552559912854,211,234,0.9578754578754579,119,126
hprc_ont,HLA*LA,Class I Pseudogenes,25,0.8636363636363636,118,136,0.6666666666666667,6,8
hprc_ont,HLA*LA,Class II Genes,25,0.7956357048748354,199,246,0.8545634920634919,106,134
hprc_ont,HLA*LA,Non-HLA Genes,25,,0,0,,0,0
hprc_ont,SpecHLA,Class I Genes,25,0.491285403050109,58,120,0.9395604395604397,55,60
hprc_ont,SpecHLA,Class I Pseudogenes,25,,0,0,,0,0
hprc_ont,SpecHLA,Class II Genes,25,0.5711198945981555,120,198,0.7664682539682539,70,102
hprc_ont,SpecHLA,Non-HLA Genes,25,,0,0,,0,0
hprc_ont,SpecLong,Class I Genes,25,0.9938271604938271,232,234,1.0,126,126
hprc_ont,SpecLong,Class I Pseudogenes,25,0.8617017211589579,398,470,0.9952380952380953,91,92
hprc_ont,SpecLong,Class II Genes,25,0.9071454731610982,564,606,0.924074074074074,210,224
hprc_ont,SpecLong,Non-HLA Genes,25,0.7798076923076923,119,138,0.7941176470588236,69,98
hprc_ont,HLA*LA,Class I Genes,30,0.9108730158730158,257,284,0.9574074074074074,73,76
hprc_ont,HLA*LA,Class I Pseudogenes,30,0.8568840579710145,122,142,1.0,2,2
hprc_ont,HLA*LA,Class II Genes,30,0.8103382803790412,240,292,0.8326530612244899,65,88
hprc_ont,HLA*LA,Non-HLA Genes,30,,0,0,,0,0
hprc_ont,SpecHLA,Class I Genes,30,0.5611111111111111,82,148,0.9814814814814815,31,32
hprc_ont,SpecHLA,Class I Pseudogenes,30,,0,0,,0,0
hprc_ont,SpecHLA,Class II Genes,30,0.615267558528428,147,228,0.7471428571428571,43,72
hprc_ont,SpecHLA,Non-HLA Genes,30,,0,0,,0,0
hprc_ont,SpecLong,Class I Genes,30,0.9940476190476191,282,284,1.0,76,76
hprc_ont,SpecLong,Class I Pseudogenes,30,0.8661213032759507,430,502,0.9930555555555557,59,60
hprc_ont,SpecLong,Class II Genes,30,0.9127781753507644,635,682,0.932962962962963,139,148
hprc_ont,SpecLong,Non-HLA Genes,30,0.7794117647058824,138,168,0.8076923076923077,50,68
hprc_ont,HLA*LA,Class I Genes,35,0.9138854972188306,292,320,0.9444444444444443,38,40
hprc_ont,HLA*LA,Class I Pseudogenes,35,0.8585507246376811,124,144,,0,0
hprc_ont,HLA*LA,Class II Genes,35,0.8114634208384208,266,328,0.8769841269841271,39,52
hprc_ont,HLA*LA,Non-HLA Genes,35,,0,0,,0,0
hprc_ont,SpecHLA,Class I Genes,35,0.5889974223307557,95,162,1.0,18,18
hprc_ont,SpecHLA,Class I Pseudogenes,35,,0,0,,0,0
hprc_ont,SpecHLA,Class II Genes,35,0.626129426129426,165,258,0.75,25,42
hprc_ont,SpecHLA,Non-HLA Genes,35,,0,0,,0,0
hprc_ont,SpecLong,Class I Genes,35,0.9940476190476191,318,320,1.0,40,40
hprc_ont,SpecLong,Class I Pseudogenes,35,0.8672348510342353,460,532,0.9666666666666667,29,30
hprc_ont,SpecLong,Class II Genes,35,0.9155668905569345,696,746,0.9412698412698414,78,84
hprc_ont,SpecLong,Non-HLA Genes,35,0.7721861471861472,159,198,0.8415178571428572,29,38
hprc_ont,HLA*LA,Class I Genes,40,0.9156719717064545,309,338,0.9166666666666666,21,22
hprc_ont,HLA*LA,Class I Pseudogenes,40,0.8585507246376811,124,144,,0,0
hprc_ont,HLA*LA,Class II Genes,40,0.8128279610194902,280,346,0.8826530612244898,25,34
hprc_ont,HLA*LA,Non-HLA Genes,40,,0,0,,0,0
hprc_ont,SpecHLA,Class I Genes,40,0.6036693191865606,101,168,1.0,12,12
hprc_ont,SpecHLA,Class I Pseudogenes,40,,0,0,,0,0
hprc_ont,SpecHLA,Class II Genes,40,0.6388252302420219,177,272,0.6642857142857144,13,28
hprc_ont,SpecHLA,Non-HLA Genes,40,,0,0,,0,0
hprc_ont,SpecLong,Class I Genes,40,0.9942528735632185,336,338,1.0,22,22
hprc_ont,SpecLong,Class I Pseudogenes,40,0.8677918920324527,476,548,0.9666666666666667,13,14
hprc_ont,SpecLong,Class II Genes,40,0.9172727531323625,728,778,0.9319727891156464,46,52
hprc_ont,SpecLong,Non-HLA Genes,40,0.7854267310789049,172,214,0.85,16,22
hprc_ont,HLA*LA,Class I Genes,45,0.9172413793103448,323,352,0.875,7,8
hprc_ont,HLA*LA,Class I Pseudogenes,45,0.8585507246376811,124,144,,0,0
hprc_ont,HLA*LA,Class II Genes,45,0.8148906449553002,289,360,0.875,16,20
hprc_ont,HLA*LA,Non-HLA Genes,45,,0,0,,0,0
hprc_ont,SpecHLA,Class I Genes,45,0.6206896551724138,109,176,1.0,4,4
hprc_ont,SpecHLA,Class I Pseudogenes,45,,0,0,,0,0
hprc_ont,SpecHLA,Class II Genes,45,0.633552271483306,182,286,0.75,8,14
hprc_ont,SpecHLA,Non-HLA Genes,45,,0,0,,0,0
hprc_ont,SpecLong,Class I Genes,45,0.9944444444444445,350,352,1.0,8,8
hprc_ont,SpecLong,Class I Pseudogenes,45,0.8677918920324527,478,550,0.9583333333333334,11,12
hprc_ont,SpecLong,Class II Genes,45,0.9154524621151143,748,802,0.9666666666666668,26,28
hprc_ont,SpecLong,Non-HLA Genes,45,0.7846840659340659,178,224,0.875,10,12
hprc_ont,HLA*LA,Class I Genes,50,0.9166666666666666,328,358,1.0,2,2
hprc_ont,HLA*LA,Class I Pseudogenes,50,0.8585507246376811,124,144,,0,0
hprc_ont,HLA*LA,Class II Genes,50,0.8217261904761904,303,376,0.5,2,4
hprc_ont,HLA*LA,Non-HLA Genes,50,,0,0,,0,0
hprc_ont,SpecHLA,Class I Genes,50,0.6277777777777778,113,180,,0,0
hprc_ont,SpecHLA,Class I Pseudogenes,50,,0,0,,0,0
hprc_ont,SpecHLA,Class II Genes,50,0.6369047619047619,190,296,0.0,0,4
hprc_ont,SpecHLA,Non-HLA Genes,50,,0,0,,0,0
hprc_ont,SpecLong,Class I Genes,50,0.9944444444444445,356,358,1.0,2,2
hprc_ont,SpecLong,Class I Pseudogenes,50,0.8678742372234937,484,556,0.875,5,6
hprc_ont,SpecLong,Class II Genes,50,0.9206884477929103,766,820,0.875,8,10
hprc_ont,SpecLong,Non-HLA Genes,50,0.7878352490421456,181,228,0.875,7,8
