Run,Age,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ETHNICITY,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,tissue
SRR15476009,not collected,AMPLICON,7595,167098,not applicable,PRJNA754842,SAMN20807771,Human,215808,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776153,Sequel,AR-101,m54042_191115_043102_AR-101_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-101,not collected,SRP332705,blood
SRR15476010,not collected,AMPLICON,6158,1668902,not applicable,PRJNA754842,SAMN20807771,Human,756954,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Melanesian,SRX11776152,Sequel,AR-101,m54042_191115_043102_AR-101_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-101,not collected,SRP332705,blood
SRR15476011,not collected,AMPLICON,7467,485403,not applicable,PRJNA754842,SAMN20807770,Human,396162,WALTER AND ELIZA HALL INSTITUTE,public,"bam,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776151,Sequel,AR-100,m54042_191115_043102_AR-100_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-100,not collected,SRP332705,blood
SRR15476012,not collected,AMPLICON,6113,1852319,not applicable,PRJNA754842,SAMN20807770,Human,906714,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776150,Sequel,AR-100,m54042_191115_043102_AR-100_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-100,not collected,SRP332705,blood
SRR15476013,not collected,AMPLICON,7570,7631050,not applicable,PRJNA754842,SAMN20807769,Human,2628613,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,sra,bam","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Melanesian,SRX11776149,Sequel II,AR-099,m64123_210408_050021_AR-099_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-099,not collected,SRP332705,blood
SRR15476014,not collected,AMPLICON,6153,31249014,not applicable,PRJNA754842,SAMN20807769,Human,8844631,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",Melanesian,SRX11776148,Sequel II,AR-099,m64123_210408_050021_AR-099_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-099,not collected,SRP332705,blood
SRR15476015,not collected,AMPLICON,7493,74938,not applicable,PRJNA754842,SAMN20807768,Human,202680,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,sra,bam","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",Melanesian,SRX11776147,Sequel,AR-098,m54042_191115_043102_AR-098_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-098,not collected,SRP332705,blood
SRR15476016,not collected,AMPLICON,6112,403415,not applicable,PRJNA754842,SAMN20807768,Human,312735,WALTER AND ELIZA HALL INSTITUTE,public,"bam,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",Melanesian,SRX11776146,Sequel,AR-098,m54042_191115_043102_AR-098_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-098,not collected,SRP332705,blood
SRR15476017,not collected,AMPLICON,7568,438985,not applicable,PRJNA754842,SAMN20807767,Human,353420,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",Melanesian,SRX11776145,Sequel,AR-097,m54042_191115_043102_AR-097_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-17T00:00:00Z,2021-08-16T13:27:00Z,1,AR-097,not collected,SRP332705,blood
SRR15476018,not collected,AMPLICON,7553,1185846,not applicable,PRJNA754842,SAMN20807685,Human,967975,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776144,Sequel,AR-010,m54042_190927_043336_AR-010_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-010,not collected,SRP332705,blood
SRR15476019,not collected,AMPLICON,6118,1866100,not applicable,PRJNA754842,SAMN20807767,Human,924551,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776143,Sequel,AR-097,m54042_191115_043102_AR-097_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-097,not collected,SRP332705,blood
SRR15476020,not collected,AMPLICON,7603,258507,not applicable,PRJNA754842,SAMN20807766,Human,255802,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776142,Sequel,AR-096,m54042_191115_043102_AR-096_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-096,not collected,SRP332705,blood
SRR15476021,not collected,AMPLICON,6117,1804722,not applicable,PRJNA754842,SAMN20807766,Human,862538,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",Melanesian,SRX11776141,Sequel,AR-096,m54042_191115_043102_AR-096_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-096,not collected,SRP332705,blood
SRR15476022,not collected,AMPLICON,7509,1321687,not applicable,PRJNA754842,SAMN20807765,Human,601103,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",Melanesian,SRX11776140,Sequel II,AR-095,m64123_210408_050021_AR-095_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-095,not collected,SRP332705,blood
SRR15476023,not collected,AMPLICON,6224,5278439,not applicable,PRJNA754842,SAMN20807765,Human,1678661,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Melanesian,SRX11776139,Sequel II,AR-095,m64123_210408_050021_AR-095_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-095,not collected,SRP332705,blood
SRR15476024,not collected,AMPLICON,7247,2319044,not applicable,PRJNA754842,SAMN20807724,Human,1239994,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Melanesian,SRX11776138,Sequel,AR-050,m54042_190926_081310_AR-050_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-050,not collected,SRP332705,blood
SRR15476025,not collected,AMPLICON,5116,9752185,not applicable,PRJNA754842,SAMN20807724,Human,3838790,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",Melanesian,SRX11776137,Sequel,AR-050,m54042_190926_081310_AR-050_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-050,not collected,SRP332705,blood
SRR15476026,not collected,AMPLICON,7495,1663929,not applicable,PRJNA754842,SAMN20807723,Human,1290800,WALTER AND ELIZA HALL INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776136,Sequel,AR-049,m54042_190927_043336_AR-049_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-049,not collected,SRP332705,blood
SRR15476027,not collected,AMPLICON,6072,9618084,not applicable,PRJNA754842,SAMN20807723,Human,5797811,WALTER AND ELIZA HALL INSTITUTE,public,"sra,run.zq,bam","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Melanesian,SRX11776135,Sequel,AR-049,m54042_190927_043336_AR-049_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-049,not collected,SRP332705,blood
SRR15476028,not collected,AMPLICON,7483,651029,not applicable,PRJNA754842,SAMN20807722,Human,468842,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",Melanesian,SRX11776134,Sequel,AR-048,m54042_191115_043102_AR-048_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-048,not collected,SRP332705,blood
SRR15476029,not collected,AMPLICON,6112,1240776,not applicable,PRJNA754842,SAMN20807722,Human,664376,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,bam,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776133,Sequel,AR-048,m54042_191115_043102_AR-048_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-048,not collected,SRP332705,blood
SRR15476030,not collected,AMPLICON,7634,15268,not applicable,PRJNA754842,SAMN20807722,Human,163610,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,bam,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776132,Sequel,AR-048,m54042_190927_043336_AR-048_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-048,not collected,SRP332705,blood
SRR15476031,not collected,AMPLICON,6106,6106,not applicable,PRJNA754842,SAMN20807722,Human,160568,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",Melanesian,SRX11776131,Sequel,AR-048,m54042_190927_043336_AR-048_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-048,not collected,SRP332705,blood
SRR15476032,not collected,AMPLICON,7556,2531351,not applicable,PRJNA754842,SAMN20807721,Human,1873626,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776130,Sequel,AR-047,m54042_190927_043336_AR-047_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-047,not collected,SRP332705,blood
SRR15476033,not collected,AMPLICON,6114,7330979,not applicable,PRJNA754842,SAMN20807721,Human,4541293,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776129,Sequel,AR-047,m54042_190927_043336_AR-047_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-047,not collected,SRP332705,blood
SRR15476034,not collected,AMPLICON,7534,4030732,not applicable,PRJNA754842,SAMN20807680,Human,1824641,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776128,Sequel,AR-005,m54042_190926_081310_AR-005_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-005,not collected,SRP332705,blood
SRR15476035,not collected,AMPLICON,7463,2000156,not applicable,PRJNA754842,SAMN20807720,Human,1552682,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776127,Sequel,AR-046,m54042_190927_043336_AR-046_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-046,not collected,SRP332705,blood
SRR15476036,not collected,AMPLICON,6097,5420252,not applicable,PRJNA754842,SAMN20807720,Human,3378201,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Melanesian,SRX11776126,Sequel,AR-046,m54042_190927_043336_AR-046_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-046,not collected,SRP332705,blood
SRR15476037,not collected,AMPLICON,7546,1298002,not applicable,PRJNA754842,SAMN20807719,Human,1040143,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,sra,bam","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Melanesian,SRX11776125,Sequel,AR-045,m54042_190927_043336_AR-045_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-045,not collected,SRP332705,blood
SRR15476038,not collected,AMPLICON,6083,7002061,not applicable,PRJNA754842,SAMN20807719,Human,4333179,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,bam,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",Melanesian,SRX11776124,Sequel,AR-045,m54042_190927_043336_AR-045_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-045,not collected,SRP332705,blood
SRR15476039,not collected,AMPLICON,7368,1097938,not applicable,PRJNA754842,SAMN20807718,Human,899867,WALTER AND ELIZA HALL INSTITUTE,public,"bam,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",Melanesian,SRX11776123,Sequel,AR-044,m54042_190927_043336_AR-044_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-044,not collected,SRP332705,blood
SRR15476040,not collected,AMPLICON,6115,4769821,not applicable,PRJNA754842,SAMN20807718,Human,2996244,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",Melanesian,SRX11776122,Sequel,AR-044,m54042_190927_043336_AR-044_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-044,not collected,SRP332705,blood
SRR15476041,not collected,AMPLICON,7430,1916983,not applicable,PRJNA754842,SAMN20807717,Human,988546,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,bam,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776121,Sequel,AR-043,m54042_190926_081310_AR-043_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-043,not collected,SRP332705,blood
SRR15476042,not collected,AMPLICON,5596,7286269,not applicable,PRJNA754842,SAMN20807717,Human,2989389,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,bam,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Melanesian,SRX11776120,Sequel,AR-043,m54042_190926_081310_AR-043_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-043,not collected,SRP332705,blood
SRR15476043,not collected,AMPLICON,7469,3077537,not applicable,PRJNA754842,SAMN20807716,Human,1494368,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Melanesian,SRX11776119,Sequel,AR-042,m54042_190926_081310_AR-042_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-042,not collected,SRP332705,blood
SRR15476044,not collected,AMPLICON,5702,12009624,not applicable,PRJNA754842,SAMN20807716,Human,4669068,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,bam,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",Melanesian,SRX11776118,Sequel,AR-042,m54042_190926_081310_AR-042_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-042,not collected,SRP332705,blood
SRR15476045,not collected,AMPLICON,6064,22372561,not applicable,PRJNA754842,SAMN20807680,Human,8659548,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Melanesian,SRX11776117,Sequel,AR-005,m54042_190926_081310_AR-005_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-005,not collected,SRP332705,blood
SRR15476046,not collected,AMPLICON,7318,2956654,not applicable,PRJNA754842,SAMN20807715,Human,1478483,WALTER AND ELIZA HALL INSTITUTE,public,"bam,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776116,Sequel,AR-041,m54042_190926_081310_AR-041_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-041,not collected,SRP332705,blood
SRR15476047,not collected,AMPLICON,7418,2722734,not applicable,PRJNA754842,SAMN20807702,Human,1345187,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,bam,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776115,Sequel,AR-028,m54042_190926_081310_AR-028_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-028,not collected,SRP332705,blood
SRR15476048,not collected,AMPLICON,7524,8457881,not applicable,PRJNA754842,SAMN20807930,Human,2905301,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",Melanesian,SRX11776114,Sequel II,AR-274,m64123_210408_050021_AR-274_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-274,not collected,SRP332705,blood
SRR15476049,not collected,AMPLICON,6146,54087097,not applicable,PRJNA754842,SAMN20807930,Human,14920877,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776113,Sequel II,AR-274,m64123_210408_050021_AR-274_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-274,not collected,SRP332705,blood
SRR15476050,not collected,AMPLICON,7401,177647,not applicable,PRJNA754842,SAMN20807929,Human,204316,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",Melanesian,SRX11776112,Sequel II,AR-273,m64123_210408_050021_AR-273_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-273,not collected,SRP332705,blood
SRR15476051,not collected,AMPLICON,6134,368063,not applicable,PRJNA754842,SAMN20807929,Human,246077,WALTER AND ELIZA HALL INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776111,Sequel II,AR-273,m64123_210408_050021_AR-273_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-273,not collected,SRP332705,blood
SRR15476052,not collected,AMPLICON,7442,1257790,not applicable,PRJNA754842,SAMN20807928,Human,590968,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,sra,bam","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Melanesian,SRX11776110,Sequel II,AR-272,m64123_210408_050021_AR-272_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-272,not collected,SRP332705,blood
SRR15476053,not collected,AMPLICON,6188,16336506,not applicable,PRJNA754842,SAMN20807928,Human,4725313,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776109,Sequel II,AR-272,m64123_210408_050021_AR-272_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-272,not collected,SRP332705,blood
SRR15476054,not collected,AMPLICON,7656,421123,not applicable,PRJNA754842,SAMN20807927,Human,306522,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776108,Sequel II,AR-271,m64123_210408_050021_AR-271_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-271,not collected,SRP332705,blood
SRR15476055,not collected,AMPLICON,6219,1306058,not applicable,PRJNA754842,SAMN20807927,Human,514974,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776107,Sequel II,AR-271,m64123_210408_050021_AR-271_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-271,not collected,SRP332705,blood
SRR15476056,not collected,AMPLICON,7530,436746,not applicable,PRJNA754842,SAMN20807926,Human,309631,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",Melanesian,SRX11776106,Sequel II,AR-269,m64123_210408_050021_AR-269_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-269,not collected,SRP332705,blood
SRR15476057,not collected,AMPLICON,6208,8897282,not applicable,PRJNA754842,SAMN20807926,Human,2691378,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",Melanesian,SRX11776105,Sequel II,AR-269,m64123_210408_050021_AR-269_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-269,not collected,SRP332705,blood
SRR15476058,not collected,AMPLICON,6043,14293928,not applicable,PRJNA754842,SAMN20807702,Human,5533831,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Melanesian,SRX11776104,Sequel,AR-028,m54042_190926_081310_AR-028_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-028,not collected,SRP332705,blood
SRR15476059,not collected,AMPLICON,7482,149640,not applicable,PRJNA754842,SAMN20807925,Human,213353,WALTER AND ELIZA HALL INSTITUTE,public,"bam,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Melanesian,SRX11776103,Sequel II,AR-266,m64123_210408_050021_AR-266_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-266,not collected,SRP332705,blood
SRR15476060,not collected,AMPLICON,6228,959197,not applicable,PRJNA754842,SAMN20807925,Human,425692,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776102,Sequel II,AR-266,m64123_210408_050021_AR-266_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-266,not collected,SRP332705,blood
SRR15476061,not collected,AMPLICON,7420,437795,not applicable,PRJNA754842,SAMN20807924,Human,372082,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Melanesian,SRX11776101,Sequel,AR-264,m54042_191116_004340_AR-264_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-264,not collected,SRP332705,blood
SRR15476062,not collected,AMPLICON,5992,2432892,not applicable,PRJNA754842,SAMN20807924,Human,1137754,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",Melanesian,SRX11776100,Sequel,AR-264,m54042_191116_004340_AR-264_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:27:00Z,1,AR-264,not collected,SRP332705,blood
